rxcui,name,tty,search_traffic
202433,tylenol,BN,450000
83553,seroquel,BN,450000
214444,codeine / promethazine,MIN,450000
1731014,guava juice,IN,450000
135095,aspirin / codeine,MIN,450000
991680,primor,BN,450000
1305547,titanium,IN,450000
82728,zoloft,BN,450000
384685,pronto,BN,450000
352741,lexapro,BN,450000
9641,selenium,IN,450000
8588,potassium,IN,450000
1007293,codeine / potassium,MIN,450000
2670,codeine,IN,450000
5553,hydroxyzine,IN,450000
214256,aspirin / oxycodone,MIN,450000
7804,oxycodone,IN,450000
214183,acetaminophen / oxycodone,MIN,450000
26225,ondansetron,IN,450000
4493,fluoxetine,IN,450000
40790,pantoprazole,IN,450000
70618,penicillin,IN,450000
1311280,platinum,IN,450000
1314891,latex,IN,450000
689555,acetaminophen / aspirin / codeine,MIN,450000
203457,benadryl,BN,450000
202479,ativan,BN,450000
28889,loratadine,IN,450000
814486,acetaminophen / promethazine,MIN,450000
817579,acetaminophen / codeine,MIN,450000
202472,valium,BN,450000
1007412,ambroxol / doxycycline,MIN,437000
465711,ciprofloxacin / hydrocortisone,MIN,437000
404789,chlorpheniramine / ibuprofen / pseudoephedrine,MIN,433333
1006910,calcium phosphate / vitamin d,MIN,428050
1007416,amoxicillin / probenecid,MIN,428050
214618,hydrochlorothiazide / lisinopril,MIN,425500
214619,hydrochlorothiazide / losartan,MIN,425500
214621,hydrochlorothiazide / metoprolol,MIN,425500
214623,hydrochlorothiazide / propranolol,MIN,425500
1007813,amoxicillin / bromhexine,MIN,425050
1310502,chlorpheniramine / ibuprofen / phenylephrine,MIN,423333
215831,calcium citrate / vitamin d,MIN,422600
1009128,caffeine / ergotamine / ibuprofen,MIN,421366
392520,metronidazole / nystatin,MIN,419000
1008323,amoxicillin / sulbactam,MIN,418900
19711,amoxicillin / clavulanate,MIN,417550
1008598,dicalcium phosphate / vitamin d,MIN,416450
1597118,chondroitin sulfates / glucosamine / ibuprofen,MIN,415333
1008826,amoxicillin / carbocysteine,MIN,414800
1007978,amoxicillin / sulfinpyrazone,MIN,412450
1009084,amoxicillin / clonixin,MIN,411860
800435,clinimix 5/15,BN,411500
1008111,amoxicillin / floxacillin,MIN,411500
1007624,amoxicillin / brovanexine,MIN,411500
800488,clinimix e 5/15,BN,411500
1008503,ascorbic acid / folic acid / vitamin d,MIN,411333
214253,aspirin / hydrocodone,MIN,409000
214182,acetaminophen / hydrocodone,MIN,409000
1094140,melatonin / tryptophan,MIN,404000
1008584,melatonin / vitamin b6,MIN,404000
821601,acetaminophen / aspirin / caffeine / codeine,MIN,399000
1007331,metronidazole / scopolamine,MIN,391500
352381,glipizide / metformin,MIN,391500
1007869,calcium carbonate / vitamin a / vitamin d,MIN,386333
689511,aspirin / caffeine / codeine,MIN,382000
814657,acetaminophen / caffeine / codeine,MIN,382000
1593109,acetaminophen / aspirin / diphenhydramine,MIN,382000
466584,acetaminophen / aspirin / caffeine,MIN,382000
1008452,carisoprodol / diclofenac,MIN,381750
1008558,ampicillin / diclofenac,MIN,381750
689553,acetaminophen / aspirin / caffeine / hydrocodone,MIN,378500
1008903,ascorbic acid / vitamin a / vitamin d,MIN,378000
1008094,clindamycin / glucose,MIN,375500
729455,amlodipine / valsartan,MIN,375500
392464,furosemide / potassium,MIN,375500
1008476,metformin / ropinirole,MIN,373500
607999,metformin / pioglitazone,MIN,373500
1008350,melatonin / pyridoxine,MIN,373500
15996,mirtazapine,IN,368000
5489,hydrocodone,IN,368000
151578,cytotec,BN,368000
151889,imodium,BN,368000
202585,klonopin,BN,368000
203279,botox,BN,368000
11256,vitamin e,IN,368000
224917,ritalin,BN,368000
2231,cephalexin,IN,368000
1318501,helicobacter pylori,IN,368000
3628,dopamine,IN,368000
594822,fml,BN,368000
482574,cymbalta,BN,368000
7301,neon,IN,368000
9143,ranitidine,IN,368000
1310300,cobalt,IN,368000
1043245,blade,BN,368000
42568,wellbutrin,BN,368000
1011867,thrive,BN,368000
2496,chromium,IN,368000
58930,zyrtec,BN,368000
30125,modafinil,IN,368000
88249,montelukast,IN,368000
6260,lead,IN,368000
69627,tea tree oil,IN,368000
6448,lithium,IN,368000
2714,collagen,IN,368000
1588,biotin,IN,368000
1311393,amber,IN,368000
151399,bactrim,BN,368000
8737,proline,IN,368000
202976,voltaren,BN,368000
1364436,eliquis,BN,368000
32968,clopidogrel,IN,368000
90176,iron,IN,368000
1292,baclofen,IN,368000
1426876,my way,BN,368000
39993,zolpidem,IN,368000
729717,metformin / sitagliptin,MIN,366750
1008463,metoprolol / nifedipine,MIN,357500
352367,cetirizine / pseudoephedrine,MIN,357500
285129,glyburide / metformin,MIN,356750
689540,aspirin / promethazine / pseudoephedrine,MIN,355000
1008083,acetaminophen / loratadine / pseudoephedrine,MIN,355000
817379,acetaminophen / codeine / pseudoephedrine,MIN,355000
645168,magnesium hydroxide / omeprazole / sodium bicarbonate,MIN,354833
689515,aspirin / caffeine / hydrocodone,MIN,354666
1243019,linagliptin / metformin,MIN,353050
1600381,diclofenac / fluorouracil,MIN,353050
1007276,calcium phosphate / melatonin,MIN,353050
1664314,empagliflozin / metformin,MIN,353050
852897,amlodipine / hydrochlorothiazide / valsartan,MIN,350666
1486436,dapagliflozin / metformin,MIN,350050
1008032,melatonin / theanine,MIN,350050
802646,metformin / repaglinide,MIN,350050
1008556,calcium carbonate / magnesium oxide / vitamin d,MIN,349500
691025,calcium citrate / vitamin a / vitamin d,MIN,348733
818560,codeine / diphenhydramine,MIN,348000
108038,acetaminophen / caffeine,MIN,348000
392658,acetaminophen / metoclopramide,MIN,348000
1008380,glucosamine / potassium,MIN,348000
669119,aspirin / diphenhydramine,MIN,348000
214250,aspirin / caffeine,MIN,348000
214181,acetaminophen / diphenhydramine,MIN,348000
1545149,canagliflozin / metformin,MIN,347600
1945123,melatonin / threonine,MIN,345550
1043562,metformin / saxagliptin,MIN,345550
1007569,acetaminophen / chlorpheniramine / codeine,MIN,345000
1008315,codeine / guaifenesin / promethazine,MIN,345000
214449,codeine / phenylephrine / promethazine,MIN,345000
1368384,alogliptin / metformin,MIN,342550
1007108,diclofenac / pridinol,MIN,342550
1792385,ciprofloxacin / fluocinolone,MIN,341450
818109,metronidazole / spiramycin,MIN,340550
614348,metformin / rosiglitazone,MIN,340550
1007411,chlorpropamide / metformin,MIN,340550
1009139,hydralazine / hydrochlorothiazide / metoprolol,MIN,338666
1009080,diclofenac / troxerutin,MIN,338300
821514,iodoquinol / metronidazole,MIN,337950
108249,diloxanide / metronidazole,MIN,337300
1009044,cholestyramine resin / diclofenac,MIN,336740
1945211,5-hydroxytryptophan / melatonin,MIN,336500
1114858,melatonin / vitamin b 12,MIN,336500
691006,calcium carbonate / ferrous fumarate / vitamin d,MIN,330366
689522,aspirin / carisoprodol / codeine,MIN,330166
901212,amlodipine / telmisartan,MIN,330000
1009020,calcium carbonate / calcium gluconate / vitamin d,MIN,328366
1008080,aspirin / methylprednisolone,MIN,325500
1007704,acetaminophen / salicylic acid,MIN,325500
814386,acetaminophen / methocarbamol,MIN,325500
1009123,acetaminophen / domperidone,MIN,325500
818190,acetaminophen / piroxicam,MIN,325500
689760,phosphorus / potassium,MIN,325500
214255,aspirin / methocarbamol,MIN,325500
611247,fluoxetine / olanzapine,MIN,325500
691012,calcium carbonate / magnesium carbonate / vitamin d,MIN,325366
1007404,calcium carbonate / soy protein isolate / vitamin d,MIN,322633
1008303,cyclobenzaprine / magnesium oxide,MIN,320250
1033889,amlodipine / perindopril,MIN,320250
1422085,atorvastatin / ezetimibe,MIN,320250
689552,acetaminophen / aspirin / caffeine / codeine / salicylamide,MIN,319780
1007317,ascorbic acid / ferrous sulfate / vitamin a / vitamin d,MIN,317250
1007340,chlorthalidone / metoprolol,MIN,312000
214223,amlodipine / benazepril,MIN,312000
1007197,hydrocortisone / metronidazole / miconazole,MIN,311500
1008684,aspirin / lithium / quinine,MIN,309333
214180,acetaminophen / dextromethorphan,MIN,307500
214491,dextromethorphan / promethazine,MIN,307500
690166,promethazine / pseudoephedrine,MIN,307500
1007200,hydroxyzine / meclizine,MIN,307500
214682,loratadine / pseudoephedrine,MIN,307500
214187,acetaminophen / pseudoephedrine,MIN,307500
214445,codeine / pseudoephedrine,MIN,307500
1806700,naltrexone / oxycodone,MIN,307500
214259,aspirin / pseudoephedrine,MIN,307500
1008168,urea / vitamin e,MIN,307000
1243467,acetone / tea tree oil,MIN,307000
1008686,cyclobenzaprine / nimesulide,MIN,305250
689556,acetaminophen / aspirin / phenylpropanolamine,MIN,304033
690095,codeine / phenylpropanolamine / promethazine,MIN,304033
392462,furosemide / spironolactone,MIN,301000
2599,clonidine,IN,301000
72625,duloxetine,IN,301000
519,allopurinol,IN,301000
224932,vaseline,BN,301000
6851,methotrexate,IN,301000
284799,nexium,BN,301000
1538105,bravecto,BN,301000
42347,bupropion,IN,301000
1299884,ammonia,IN,301000
1202,atenolol,IN,301000
352393,abilify,BN,301000
215927,celebrex,BN,301000
42331,misoprostol,IN,301000
36567,simvastatin,IN,301000
352990,suboxone,BN,301000
4511,folic acid,IN,301000
324042,hydrochlorothiazide / spironolactone,MIN,301000
5487,hydrochlorothiazide,IN,301000
202866,flagyl,BN,301000
8783,propolis,IN,301000
11416,zinc,IN,301000
77492,tamsulosin,IN,301000
128793,vicodin,BN,301000
692796,helium / oxygen,MIN,301000
8375,placebo,IN,301000
262123,icar,BN,301000
66981,zofran,BN,301000
20352,carvedilol,IN,301000
70727,fiber,IN,301000
711043,vyvanse,BN,301000
197116,atarax,BN,301000
448,ethanol,IN,301000
25025,finasteride,IN,301000
153010,advil,BN,301000
39786,venlafaxine,IN,301000
220329,tobi,BN,301000
37925,orlistat,IN,301000
4603,furosemide,IN,301000
3264,dexamethasone,IN,301000
4850,glucose,IN,301000
5499,hydrogen peroxide,IN,301000
217693,ibu,BN,301000
1006907,ethanol / glucose,MIN,301000
1788859,react,BN,301000
9997,spironolactone,IN,301000
7806,oxygen,IN,301000
10582,levothyroxine,IN,301000
1305917,kwai,BN,301000
5140,helium,IN,301000
820701,acetaminophen / aspirin / salicylamide,MIN,300966
1008801,amlodipine / hydrochlorothiazide / olmesartan,MIN,300166
689563,acetaminophen / butalbital / codeine,MIN,300000
814483,acetaminophen / chlorpheniramine / codeine / pseudoephedrine,MIN,300000
1007572,acetaminophen / codeine / guaifenesin / pseudoephedrine,MIN,300000
1008812,codeine / guaiacolsulfonic acid / promethazine,MIN,300000
1009015,amlodipine / olmesartan,MIN,299750
214220,amitriptyline / chlordiazepoxide,MIN,299750
1486415,coconut oil / linseed oil,MIN,299750
1007815,acetaminophen / caffeine / salicylic acid,MIN,299000
689513,aspirin / caffeine / dihydrocodeine / promethazine,MIN,296625
689551,acetaminophen / aspirin / caffeine / calcium gluconate,MIN,293275
214769,phenylephrine / promethazine,MIN,292500
1008871,acetaminophen / codeine / guaifenesin / phenylephrine,MIN,292500
1008832,aspirin / sulfur,MIN,292500
214179,acetaminophen / chlorpheniramine,MIN,292500
605998,chlorpheniramine / codeine,MIN,292500
214186,acetaminophen / phenylephrine,MIN,292500
214442,codeine / guaifenesin,MIN,292500
689576,acetaminophen / calcium carbonate,MIN,292500
1653939,levocetirizine / loratadine,MIN,292500
606096,acetaminophen / guaifenesin,MIN,292500
817958,aspirin / calcium carbonate,MIN,292500
1545902,naloxone / oxycodone,MIN,292500
814664,aspirin / phenylephrine,MIN,292500
816818,aspirin / chlorpheniramine,MIN,292500
818852,codeine / phenylephrine,MIN,292500
689579,acetaminophen / chlorpheniramine / codeine / phenylephrine,MIN,292500
646781,benzoyl peroxide / clindamycin,MIN,292500
404775,aspirin / pravastatin,MIN,292500
1008940,ascorbic acid / sodium fluoride / vitamin a / vitamin d,MIN,289050
1050797,aliskiren / amlodipine / hydrochlorothiazide,MIN,288600
1007489,felodipine / metoprolol,MIN,288550
689568,acetaminophen / caffeine / codeine / salicylamide,MIN,287225
689554,acetaminophen / aspirin / caffeine / salicylamide,MIN,287225
689786,acetaminophen / diphenhydramine / pseudoephedrine,MIN,287000
1008252,acetaminophen / dextromethorphan / diphenhydramine,MIN,287000
817430,acetaminophen / caffeine / codeine / meprobamate,MIN,286500
214160,aspirin / butalbital / caffeine / codeine,MIN,286500
689561,acetaminophen / butalbital / caffeine / codeine,MIN,286500
645566,bendroflumethiazide / propranolol,MIN,286100
1007182,vitamin a / vitamin e,MIN,284500
1008668,ambroxol / cephalexin,MIN,284500
1007575,domperidone / ranitidine,MIN,284500
282427,amitriptyline / perphenazine,MIN,284050
689524,aspirin / citric acid / sodium bicarbonate,MIN,284000
1009219,aliskiren / amlodipine,MIN,282400
1007716,acetaminophen / thiamine,MIN,280000
1007005,aspirin / quinine,MIN,280000
816029,acetaminophen / scopolamine,MIN,280000
819049,betamethasone / loratadine,MIN,280000
812525,aspirin / phenobarbital,MIN,280000
813961,ascorbic acid / aspirin,MIN,280000
689794,acetaminophen / phenobarbital,MIN,280000
1007476,pentaerythritol / propranolol,MIN,277200
834769,codeine / diphenhydramine / phenylephrine,MIN,277000
689785,acetaminophen / diphenhydramine / phenylephrine,MIN,277000
1303250,acetaminophen / caffeine / chlorpheniramine,MIN,277000
817911,acetaminophen / caffeine / phenylephrine,MIN,277000
689509,aspirin / caffeine / chlorpheniramine,MIN,277000
1007827,acetaminophen / pamabrom / vitamin e,MIN,275966
1007484,dihydralazine / propranolol,MIN,275360
1007158,clonixin / cyclobenzaprine,MIN,275360
1008821,castor oil / peruvian balsam,MIN,275160
803516,niacin / simvastatin,MIN,273500
214536,enalapril / hydrochlorothiazide,MIN,273500
1007743,acetone / ethanol,MIN,273500
818284,hydrochlorothiazide / ramipril,MIN,273500
687113,caffeine / glucose,MIN,273500
214317,bisoprolol / hydrochlorothiazide,MIN,273500
816583,acetaminophen / carisoprodol,MIN,270250
392499,aspirin / glycine,MIN,270250
1007337,aspirin / isosorbide,MIN,270250
214251,aspirin / carisoprodol,MIN,270250
1007878,hydroxyzine / labetalol,MIN,270250
687144,clindamycin / tretinoin,MIN,270250
1007769,bismuth subcitrate / metronidazole / tetracycline,MIN,269626
818629,bismuth biskalcitrate / metronidazole / tetracycline,MIN,269333
1007914,agar / mineral oil / phenolphthalein,MIN,269166
817778,aspirin / caffeine / quinine,MIN,268666
817455,ascorbic acid / aspirin / caffeine,MIN,268666
1008298,acetaminophen / caffeine / chlorpheniramine / hydrocodone / phenylephrine,MIN,266800
214631,hydrocodone / pseudoephedrine,MIN,266500
689562,acetaminophen / butalbital / caffeine / hydrocodone,MIN,266000
1007214,niacinamide / potassium,MIN,262000
689769,acetaminophen / codeine / guaifenesin / phenylpropanolamine,MIN,261775
1008651,betamethasone / diclofenac / vitamin b 12,MIN,261000
466569,acetaminophen / dextromethorphan / pseudoephedrine,MIN,260000
1007568,codeine / guaiacolsulfonic acid / phenylephrine / promethazine,MIN,258750
1008391,carbon monoxide / neon / nitrogen / oxygen,MIN,258750
466566,acetaminophen / dextromethorphan / diphenhydramine / pseudoephedrine,MIN,256500
1008627,helium / nitrogen / oxygen,MIN,255666
392534,bumetanide / potassium,MIN,255250
214392,chlorpheniramine / hydrocodone,MIN,251500
1007057,lysine / proline,MIN,251500
1007778,biotin / calcium carbonate,MIN,251500
214628,hydrocodone / phenylephrine,MIN,251500
214594,guaifenesin / hydrocodone,MIN,251500
214478,dexamethasone / lidocaine,MIN,251000
1007083,diltiazem / hydrochlorothiazide,MIN,251000
1190559,ethanol / lidocaine,MIN,251000
108190,glucose / sodium chloride,MIN,251000
1008719,ethanol / salicylic acid,MIN,251000
820778,glucose / lidocaine,MIN,251000
689930,hydrogen peroxide / sodium bicarbonate,MIN,251000
214626,hydrochlorothiazide / valsartan,MIN,251000
1007854,clotrimazole / dexamethasone,MIN,251000
689765,acetaminophen / chlorpheniramine / pseudoephedrine,MIN,250000
1007587,acetaminophen / chlorpheniramine / dextromethorphan,MIN,250000
1007353,aspirin / chlorpheniramine / dextromethorphan,MIN,250000
466489,codeine / guaifenesin / pseudoephedrine,MIN,250000
466568,chlorpheniramine / codeine / pseudoephedrine,MIN,250000
1008877,aspirin / chlorpheniramine / pseudoephedrine,MIN,250000
690093,codeine / phenylephrine / pseudoephedrine,MIN,250000
1007269,acetaminophen / guaifenesin / pseudoephedrine,MIN,250000
1053102,aspirin / dextromethorphan / phenylephrine,MIN,250000
705259,acetaminophen / dextromethorphan / phenylephrine,MIN,250000
689775,acetaminophen / dextromethorphan / guaifenesin,MIN,250000
1008935,acetaminophen / ketoprofen,MIN,249750
689788,acetaminophen / meperidine,MIN,249750
1006970,acetaminophen / dimenhydrinate,MIN,249750
814290,acetaminophen / doxylamine,MIN,249750
214699,meperidine / promethazine,MIN,249750
729517,codeine / kaolin,MIN,249750
668889,diphenhydramine / hydrocodone / phenylephrine,MIN,249666
815003,acetaminophen / caffeine / chlorpheniramine / pseudoephedrine,MIN,249000
1008802,acetaminophen / dextromethorphan / diphenhydramine / phenylephrine,MIN,249000
1008893,acetaminophen / chlorpheniramine / diphenhydramine / pseudoephedrine,MIN,249000
1007795,ascorbic acid / ferrous sulfate / niacin / riboflavin / thiamine / vitamin a / vitamin b6 / vitamin d / vitamin e,MIN,246500
1007292,diphenhydramine / niacin,MIN,246000
4278,famotidine,IN,246000
152523,zantac,BN,246000
710529,nuvaring,BN,246000
151672,dulcolax,BN,246000
2296,charcoal,IN,246000
8727,progesterone,IN,246000
4053,erythromycin,IN,246000
178,acetone,IN,246000
261657,tamiflu,BN,246000
19484,bisoprolol,IN,246000
140587,celecoxib,IN,246000
18993,benzonatate,IN,246000
6915,metoclopramide,IN,246000
1895,calcium,IN,246000
7393,niacin,IN,246000
11002,urea,IN,246000
4910,glycerin,IN,246000
352777,mucinex,BN,246000
281,acyclovir,IN,246000
2837,copper,IN,246000
89821,witch hazel,IN,246000
25655,gaviscon,BN,246000
1039062,cornstarch,IN,246000
187832,pregabalin,IN,246000
82122,levofloxacin,IN,246000
3498,diphenhydramine,IN,246000
7454,nitrofurantoin,IN,246000
3827,enalapril,IN,246000
131725,ambien,BN,246000
35636,risperidone,IN,246000
203302,sudafed,BN,246000
218986,oxycontin,BN,246000
1827,buspirone,IN,246000
174742,plavix,BN,246000
224954,flexeril,BN,246000
1886,caffeine,IN,246000
153165,lipitor,BN,246000
4450,fluconazole,IN,246000
4845,glucosamine,IN,246000
37565,tandem,BN,246000
261547,keppra,BN,246000
196498,neurontin,BN,246000
1362874,diatomaceous earth,IN,246000
7824,oxytocin,IN,246000
57258,tizanidine,IN,246000
1311275,staphylococcus aureus,IN,246000
272,activated charcoal,IN,246000
51272,quetiapine,IN,246000
1248443,rembrandt,BN,246000
35296,ramipril,IN,246000
466549,aspirin / caffeine / orphenadrine,MIN,245500
689512,aspirin / caffeine / dihydrocodeine,MIN,245500
1006995,aluminum hydroxide / aspirin / caffeine,MIN,245500
689569,acetaminophen / caffeine / dihydrocodeine,MIN,245500
814872,acetaminophen / orphenadrine,MIN,245250
619676,acetaminophen / methionine,MIN,245250
1008464,aminophylline / promethazine,MIN,245250
690996,aluminum hydroxide / aspirin / codeine / magnesium hydroxide,MIN,245250
151196,acetaminophen / dihydrocodeine,MIN,245250
692971,carbon monoxide / helium / nitrogen / oxygen,MIN,242000
817466,acetaminophen / thiocolchicoside,MIN,241550
226716,aspirin / dipyridamole,MIN,241550
819002,acetaminophen / diphenhydramine / guaifenesin / phenylephrine,MIN,241500
689570,acetaminophen / caffeine / guaifenesin / phenylephrine,MIN,241500
819910,acetaminophen / caffeine / chlorpheniramine / phenylephrine,MIN,241500
689583,acetaminophen / chlorpheniramine / phenylephrine,MIN,240000
689380,chlorpheniramine / codeine / phenylephrine,MIN,240000
1302427,acetaminophen / chlorpheniramine / guaifenesin,MIN,240000
631158,acetaminophen / guaifenesin / phenylephrine,MIN,240000
690082,codeine / guaifenesin / phenylephrine,MIN,240000
818496,aspirin / chlorpheniramine / phenylephrine,MIN,240000
689518,aspirin / caffeine / propoxyphene,MIN,239400
1441397,ascorbic acid / collagen,MIN,239000
1008422,ascorbic acid / biotin,MIN,239000
1008100,ascorbic acid / vitamin e,MIN,239000
813694,quinine / vitamin e,MIN,239000
1008181,thiamine / vitamin e,MIN,239000
819817,aspirin / cyclizine,MIN,238550
494309,acetaminophen / chlorzoxazone,MIN,238550
690096,codeine / potassium citrate,MIN,238550
48274,acetaminophen / propoxyphene,MIN,236100
689541,aspirin / propoxyphene,MIN,236100
1534422,aspirin / carbidopa,MIN,236100
1534418,acetaminophen / carbidopa,MIN,236100
392576,bendroflumethiazide / potassium,MIN,236100
813715,acetaminophen / diphenhydramine / phenylpropanolamine,MIN,236033
815052,aspirin / diphenhydramine / phenylpropanolamine,MIN,236033
1007737,lecithin / vitamin a / vitamin e,MIN,234666
1007965,acetaminophen / caffeine / homatropine,MIN,234200
819659,aspirin / papain,MIN,234050
1009027,acetaminophen / antipyrine / caffeine,MIN,233200
1007060,buclizine / hydroxyzine / niacin,MIN,233200
1551467,bupropion / naltrexone,MIN,233000
1007974,hydrochlorothiazide / verapamil,MIN,233000
214615,hydralazine / hydrochlorothiazide,MIN,233000
214357,captopril / hydrochlorothiazide,MIN,233000
705034,nitrogen / oxygen,MIN,233000
392475,atenolol / nifedipine,MIN,233000
813995,allopurinol / colchicine,MIN,233000
689519,aspirin / caffeine / salicylamide,MIN,232966
466581,acetaminophen / caffeine / salicylamide,MIN,232966
812243,acetaminophen / caffeine / magnesium salicylate,MIN,232633
689572,acetaminophen / caffeine / isometheptene,MIN,232633
1008006,aspirin / caffeine / magnesium salicylate,MIN,232633
214137,acetaminophen / caffeine / pyrilamine,MIN,232533
1007007,loratadine / povidone,MIN,232400
690089,codeine / papaverine,MIN,232400
1008493,benzoate / codeine,MIN,232400
615170,acetaminophen / caffeine / phenyltoloxamine,MIN,232333
466424,aspirin / caffeine / cinnamedrine,MIN,232013
214130,acetaminophen / butalbital / caffeine,MIN,232000
214159,aspirin / butalbital / caffeine,MIN,232000
1008060,butalbital / caffeine / codeine,MIN,232000
1007171,acetaminophen / caffeine / hyoscyamus extract,MIN,232000
817824,acetaminophen / ascorbic acid / phenylephrine,MIN,231666
1008540,ascorbic acid / niacin / riboflavin / thiamine / vitamin a / vitamin b 12 / vitamin b6 / vitamin d / vitamin e,MIN,231500
689796,acetaminophen / phenylpropanolamine,MIN,231050
817405,aspirin / phenylpropanolamine,MIN,231050
1007030,acetaminophen / tolperisone,MIN,229950
1595630,acetaminophen / brompheniramine,MIN,229950
214184,acetaminophen / pamabrom,MIN,229950
823181,brompheniramine / codeine,MIN,229950
1312961,eucalyptus oil / tea tree oil,MIN,229250
1007187,magnesium oxide / vitamin e,MIN,229250
1007481,collagen / tretinoin,MIN,229250
1366142,cholecalciferol / vitamin e,MIN,229250
689778,acetaminophen / dextromethorphan / guaifenesin / pseudoephedrine,MIN,228750
